Class,Total
Academic Alegbra 1,1.75
Academic Biology,1.75
Academic Chemistry,1.75
Accelerated Advanced Algebra with Trig,3.5
accelerated algebra,3.5
Accelerated Precalc/Calc A,5.25
Adv Alg Pre Diploma Program,5.25
Advanced Alegbra 2,5.25
Advanced Algebra,3.5
Advanced Algebra 2/Trig,3.5
ADVANCED ALGEBRA WITH TRIG,3.5
Advanced Geometry,3.5
Advanced Programming Python,5.25
Aerospace Engineering,5.25
ALGEBRA,1.75
Regular Algebra 1,1.75
Algebra 1,1.75
algebra 2,3.5
Algebra 3,3
Algebra 2/Trig,3.5
Algebra Competency,1.75
Algebra with Trig,3.5
Analytical Geometry,5.25
Anatomy,3.5
ANATOMY & PHYSIOLOGY,3.5
AP Algebra 1,1.75
AP Algebra 2,3.5
AP BC CALCULUS,7
AP Biology,1.75
AP Biology Extended,2
AP CALC AB,5.25
AP Calc BC,5.25
AP CALCLULUS BC,5.25
AP Calculous,7
AP Calculus,7
AP CALCULUS 1,7
AP CALCULUS 2,7
AP Calculus A/B,7
AP Calculus AB,7
AP AB Calculus,7
AP Calculus BC,7
AP Chemistry,1.75
AP Chemistry C,1.75
AP Chemistry Extended,1.75
AP Chemisty,1.75
AP Human Biology,2
AP Computer Science,3.5
AP Computer Science A,3.5
AP Computer Science Principle,3.5
AP Computer Science Principles,3.5
AP Environmental Science,5.25
AP PHYISICS C ELECTRICTY & MAGNETISM,5.25
AP PHYSIC C MECHANICS & E&M,5.25
AP Physics,3.5
AP Physics 1,3.5
AP Physics 2,5.25
AP Physics C,5.25
AP PHYSICS C E&M,5.25
AP Physics C Electricity & Magnetism,5.25
AP Physics C Extended,5.25
AP Physics C Mechanics,5.25
AP PHYSICS C MEHCANICS,5.25
AP Physics Mechanics,3.5
AP Physics-Algebra based,3.5
AP PSYCHOLOGY,3.5
AP Research,5.25
AP Statisics,5.25
AP Statistics,5.25
AP Web Application Development,5.25
Apple App,3.5
Applied Biochemistry,5.25
APPLIED COMPUTER ARTS & SCIENCE,3.5
Astronomy,5.25
biology,1.75
Regular Biology,1.75
BIOLOGY HH,2.75
Biology Pre Diploma Program,1.75
BIOTECHNOLGY,5.25
biotechnology,5.25
Biotechnology/Microbiology,5.25
BUILD & DESIGN,3.5
CAD Technology,5.25
Calc BC/AP,5.25
Calculus,7
Calculus & Analytic Geometry 1,7
Calculus 1,7
Calculus 2,7
CALCULUS BC,7
Chemistry,1.75
Chemistry Pre Diploma Program,1.75
Chemisty,1.75
Civil Engineering & Architecture,5.25
Civil Engineering & Architecture DBL,3.5
Code & Game Design,5.25
Coll Alg/Trig,3.5
College Algebra,3.5
College Credit Bio,5.25
College Credit Calculus,7
College Credit Mathematics,3.5
COLLEGE READINESS MATH,3.5
COMP SCI PRINCIPLES 1,3.5
Computer Science Principles,3.5
COMP SCI PRINCIPLES 2,3.5
COMPUTER APPLICATIONS,3.5
Computer Information Systems,3.5
Computer Intformation Systems,3.5
COMPUTER OPERATIONS,3.5
Computer Science,3.5
Intermediate Computer Science,4
Computer Science 1,3.5
Computer Science C++,3.5
COMPUTER SCIENCE PRINCIPLES 1,3.5
COMPUTER SCIENCE PRINCIPLES 2,3.5
CP ENGINEERING DESIGN 2,5.25
Digital Electronics,3.5
Digital Eletronics,5.25
DIGITAL LITERACY,1.75
DP ADVANCED ALGEBRA WITH TRIG,3.5
DP MATH APPLICATION & INTERPRETATION 2,3.5
DUAL CREDIT PHYSICS,3.5
Dual Enrollment Calculus 2,7
Dual Enrollment Calculus 3,7
Dual-Credit Biology,1.75
Dual-Credit Chemistry,1.75
Dual-Credit Chemistry 121,1.75
Dual-Credit College Algebra 140,3.5
Dual-Credit Math 118,3.5
Dual-Credit Math 125,3.5
Dual-Credit Math 140-141,3.5
Dual-Credit Multivariable Calculus,8.75
DUAL-CREDIT PHYSICS,3.5
Dual-Credit Pre-Calc,3.5
Dual-Credit Precalc 143,3.5
Dual credit Pre-calculus,3.5
DUAL-CREDIT PRECALCULAUS,3.5
Dual-Credit Pre-Calculus,3.5
Earth & Space Science,3.5
Electronics,3.5
Elementary Logic,3.5
ENGINEERING,3.5
Engineering & Design,3.5
Engineering & Technology,5.25
Engineering 1,3.5
Engineering 2,3.5
ENGINEERING BASICS,3.5
Engineering Design,5.25
Engineering Design 1,3.5
ENGINEERING DESIGN DEVELOPMENT,3.5
Intro to Engineering Principles of Engineering,5
Engineering Principles,5.25
Environmental Science,3.5
Excel Algebra 1,1.75
Excel Biology,1.75
Excel Physics,3.5
Exploring Computer Science,3.5
Finance & Math 1,1.75
ISP Quantum Mechanics,5
Finance & Math 2,3.5
Forensic Science,3.5
Forensics,3.5
Fundamentals of Internet Technology,1.75
Fundamentals of IT,1.75
FUNDAMENTALS OF PROGRAMMING,1.75
Game Programming 1,1.75
Game Programming 2,3.5
Game Design 1,1.75
Gaming,3.5
geometry,1.75
Geometry 2,3.5
Geometry with Algebra,1.75
HL MATH APPLICATIONS & INTERPRETATIONS,5.25
Honors Advanced Algebra,3.5
Honors Advanced Algebra & Trig,3.5
HONORS ADVANCED ALGEBRA 2,3.5
HONORS ADVANCED ALGEBRA WITH TRIG,3.5
HONORS ADVANCED ALGEBRA WITH TRIG BC,3.5
HONORS ADVANCED ALGEBRA WITH TRIGNOMETRY,3.5
HONORS ADVANCED PROGRAMMING,3.5
HONORS ADVANCED STUDIES COHORT,5.25
Honors Algebra 2/Trig/Pre-Calc,3.5
Honors Advanced Trignometry,3.5
Honors Advandced Algebra with Trig,3.5
Honors Advanced Algrebra with Trig,3.5
Honors Aerospace Engineering,3.5
HONORS AEROSPACE SCIENCE,5.25
Honors Alebra 1,1.75
HONORS ALEGBRA,1.75
Honors Alegbra 1,1.75
Honors Alegbra 2,3.5
Honors ALG2/TRG,3.5
Honors Algebra,1.75
Honors Algebra / Trig,3.5
Honors Algebra 1,1.75
Honors Math 1,1.75
Honors Algebra 2,3.5
Honors Algebra 2 / Trigonometry,3.5
Honors Algebra 2 with Trigonometry,3.5
Honors Algebra 2/Honors Trig,3.5
Honors Math 3,4
Honors Math 4,5
Honors Algebra 2/Trig,3.5
Honors Algebra II,3.5
Honors Algebra Theory,7
Honors Algebra Trig,3.5
HONORS ALGEBRA WITH TRIG,3.5
Honors Anatomy,5.25
HONORS ANATOMY & PHYSIOLOGY,3.5
Honors Android App Development,5.25
Honors Aquaponics,5.25
Honors Aquaponics 1,5.25
HONORS AQUAPONICS INDEPENDENT STUDY,3.5
Honors Artificial Intelligence,7
Honors Astronomy,3.5
Honors Auqaponics 2,5.25
Honors Biochemistry,5.25
Honors Biology,1.75
Honors Biology 1,1.75
Honors Biology 3,5.25
HONORS BIOTECHNOLOGY,7
Honors Biotechology,7
Honors Calculus,7
HONORS CALCULUS 3,7
Honors Chemistry,1.75
Honors Chemistry 1,1.75
Honors Chemisty,1.75
Honors Civil Engineering,7
HONORS CIVIL ENGINEERING & ARCHITECTURE,5.25
HONORS CIVIL ENGINEERING ARCHITECTURE,5.25
Honors College Alg/Trig,5.25
HONORS COMPUTATIONAL THINKING,5.25
HONORS COMPUTER PROGRAMMING THROUGH MEDIA COMPUTATION,3.5
HONORS COMPUTER PROGRAMMING THROUGH MEDIA COMPUTATION',3.5
Honors Computer Science,3.5
Honors Cumputer Science,3.5
Honors Computer Science 1,3.5
Honors Computer Science 2,3.5
HONORS CONCEPTUAL PHYSICS,7
HONORS CP ENGINEERING DESIGN,5.25
Honors Cybersecurity,7
Honors Design Development,3.5
HONORS DIFFERENTIAL EQUATIONS,7
Honors Differential Equations & Linear Algebra,7
Honors Digital Electronics,3.5
Honors Digital Imaging,5.25
HONORS EARTH & SPACE SCIENCE,3.5
Honors Engineering,7
HONORS ENGINEERING 1,3.5
Honors Engineering Design,5.25
Honors Engineering I,5.25
Honors Environmental Science,3.5
Honors EPICS,7
HONORS EXPLORING COMPUTATIONAL THINKING,3.5
Honors Exploring Computer Science,3.5
HONORS EXPLORING COMUTER SCIENCE,3.5
Honors Forensic Science,3.5
Honors Forensic Science & Biotechnology,5.25
Honors Forensics,3.5
Honors Fundamentals of IT,3.5
Honors Fundementals of Internet Technology,3.5
Honors Gaming 1,3.5
Honors Gaming Concepts,3.5
HONORS GEMOMETRY 1,3.5
Honors Geometry,1.75
HONORS GEOMETRY & TRIG,1.75
Honors Geometry 1,1.75
Honors Geometry 2,3.5
Honors Human Anatomy,5.25
HONORS HUMAN BODY SYSTEMS,5.25
Honors Human Comp Inter 1,3.5
Honors Human Comp Interactions 1,5.25
HONORS HUMAN COMPUTER INTERACTION,3.5
Honors Human Computer Interaction & Design (Makers),3.5
HONORS INNOVATION CREATION LAB (MAKER'S LAB),5.25
HONORS INNOVATION CREATIVE LAB,3.5
Honors Integrated Math 2,3.5
Honors Integrated Math 3,5.25
Honors Integrated Math 4,5.25
HONORS INTERGRATED MATH 2,3.5
HONORS INTERGRATED SCIENCE 1,3.5
HONORS INTERMEDIATE COMPUTER SCIENCE,3.5
Honors Intro Engineering Design,5.25
Honors Intro to AI,7
HONORS INTRO TO AQUAPONICS,3.5
Honors Intro to Artificial Intelligence,7
Honors Intro to engineering,5.25
Honors Intro to Engineering & Design,5.25
Honors Intro to Engineering 1,7
Honors Intro to Engineering 2,7
Honors Intro to Engineering Design,5.25
Honors Intro to Robotics,7
Honors Introduction to AI,7
HONORS INTRODUCTION TO ARTIFICIAL INTELLIGENCE,7
HONORS INTRODUCTION TO CYBERSECURITY,5.25
Honors Introduction to Engineering,5.25
Honors Introduction to Engineering & Design PLTW,7
Honors Introduction to Engineering Design,5.25
Honors Introduction to robotics,7
Honors IT Problem Solving,5.25
HONORS JAVA,3.5
HONORS JAVA & MEDIA COMPUTATION,3.5
HONORS KALEIDO ADVANCED MATHEMATICS,5.25
HONORS KAM ANALYSIS,5.25
Honors Math IIA,3.5
Honors Math IIIB,5.25
Honors Math IVB,5.25
HONORS MEDIA COMPUTATION,3.5
HONORS MEDIA JAVA & MEDIA COMP,3.5
HONORS MEDICAL INTERVENTIONS,3.5
HONORS MICRO ARCHITECTURE,5.25
HONORS MICROARCHITECTURE,7
HONORS MICROARCHITECTURE & LOGIC DESIGN,7
Honors Microarchitecture Logic & Design,7
Honors Microarchitecture Logic Design,7
Honors Multivariable Calculus,8.75
Honors Multi Variable Calculus,8.75
Dual Enrollment Multivariable Calculus,8.75
HONORS NEUROSCIENCE,5.25
Honors Physical Science,3.5
Honors Physics,3.5
Honors Physics 1,3.5
Honors Pre Calculus,5.25
HONORS PRE CALULUS,5.25
Honors PreCalc,5.25
Honors Pre-Calc,5.25
Honors Accelerated Pre-Calc & Differential Calc,6
HONORS PRE-CALC BC,3.5
Honors Precalculus,5.25
Honors Pre-calculus,5.25
Honors Pre-Calculus Advanced Placement Calculus,5.25
Honors Precalculus B/C,5.25
Honors Pre-Calc B/C,5.25
Honors Precalculus BC,5.25
HONORS PRE-CALCULUS BC,5.25
Honors Prgm & Media Compu,5.25
HONORS PRINCIPAL OF ENGINEERING,5.25
Honors Principals of Engineering,3.5
Honors Principles of Engineering,3.5
Honors Principles of Engineering 1,7
Honors Principles of Engineering 2,7
Honors Principles of Engineering PLTW,7
HONORS PROBABILITY & STATISTICS,5.25
Honors Probaility & Statistics,3.5
HONORS PROGRAMING & COMPUTER SCIENCE,3.5
Honors Programming 1,3.5
Honors Project Lead the Way Engineering Design & Development,5.25
Honors Project Lead the Way Introduction to Engineering,5.25
Honors Project Lead the Way Principles of Engineering,5.25
Honors Pyhsics,3.5
Honors Robotics,7
HONORS SCIENCE 2,3.5
HONORS SCIENCE 3,5.25
Honors Software App 1,5.25
Honors Software App 2,7
Honors Software App II,5.25
Honors Sound Engineering,3.5
Honors STEM Research,7
Honors STEM Senior Experience,7
Honors TCS,3.5
Honors Trig,3.5
Honors Trigonomety,3.5
Honors Trig/Advanced Algebra,3.5
Honors Trig/Algebra 2,3.5
HONORS TRIG-CALC-STATS,5.25
Honors Web Design,5.25
Honors Web Design 1,3.5
Honors Web Design 2,5.25
HONORS WEB DEVELOPMENT,3.5
HS1 GEOMETRY,1.75
HUMAN ANATOMY,3.5
IB Advanced Algebra,3.5
IB Advanced Algebra Trig,3.5
IB ADVANCED ALGEBRA WITH TRIG,3.5
IB Algebra,3.5
IB Biology,1.75
IB Biology 1,1.75
IB Biology 2,3.5
IB Biology Higher Level,1.75
IB Biology II,3.5
IB Biology SL,1.75
IB calculus,7
IB Calculus 1,7
Ib Calculus 2,7
IB Chemistry,1.75
IB Chemistry Standard Level,1.75
IB Computational Design,7
IB DP Biology 1,1.75
IB DP Biology II,3.5
IB DP Math Application & Interpretations 1,5.25
IB DP Math Application & Interpretations 2,5.25
IB Geometry,1.75
IB Higher Level Chemistry 1,1.75
IB Higher Level Chemistry 2,3.5
IB Higher Level Math Analysis & Approaches 1,5.25
IB Higher Level Math Analysis & Approaches 2,5.25
IB HL BIOLOGY 1,1.75
IB HL Biology 2,3.5
IB HL Physics 1,3.5
IB HL Physics 2,5.25
IB MVP Physics,5.25
IB Info Technology,5.25
IB Information Technology in a Global Society,5.25
IB Integrated Math 1,5.25
IB Integrated Math 2,5.25
IB ITGS (Information Technology in a Global Society),5.25
IB MATH 1,3.5
IB MATH 2,3.5
IB Math Studies,3.5
IB Math Application & Interpretations 1,5.25
IB Math Application & Interpretations 2,5.25
IB Math Application & Interpretations II,5.25
IB Math Applications & Interpretations,5.25
IB Math SL,3.5
IB Mathamatics Standard Level,3.5
IB Mathematical Studies,3.5
IB Physics,3.5
IB Science Inquiry,5.25
IB SL Biology 1,1.75
IB SL Biology 2,3.5
IB SL Biology II,3.5
IB SL Chemistry 1,1.75
IB SL Chemistry 2,3.5
IB SL Math & Interpretations,5.25
IB SL Math Analysis & Approaches,5.25
IB SL MATH ANALYSIS & APPROACHES 1,5.25
IB SL MATH ANALYSIS & APPROACHES 2,5.25
IB SL Math Application & Int,5.25
IB SL Math Application & Interpretations,5.25
IB SL Math Application & Interpretations 1,5.25
IB SL Mathematics 1,3.5
IB SL Mathematics 2,3.5
IB SL Physics 1,3.5
IB SL PHYSICS II,5.25
IB Technology,5.25
INFORMATION SECURITY ESSENTIAL,3.5
integrated math 1,3.5
Integrated Math 2,3.5
Integrated Math 3,5.25
Integrated Math 4,5.25
integrated math II,3.5
IB ITGS Information Technology in a Global Society,3.5
Integrated Physical Science,5.25
Integrated Science 1,3.5
Integrated science 2,3.5
INTERNETWORKING 1,3.5
INTERNETWORKING 2,3.5
Intro Computer Sci,3.5
INTRO TO COMPUTER APPLICATIONS,3.5
Intro to Computer Science,3.5
Intro to Engineering,5.25
INTRO TO ENGINEERING & DESIGN,3.5
Intro Engineering Design,5.25
Intro to Engineering Design,5.25
Intro to Engineering Princlples of Engineering,5.25
Intro to Robotics,5.25
Introduction to AI,5.25
INTRODUCTION TO ENGINEERING,5.25
Introduction to Engineering Design,5.25
Introduction to Robotics,5.25
INTRODUCTION TO TEACHING TECHNOLOGY,1.75
IOS APP DEVELOPMENT,3.5
IT PROBLEM SOLVING,3.5
Kaleidoscopic Advanced Mathematics,3.5
LEADERSHIP IN TECHNOLOGY,1.75
LEADERSHIP IN TECHNOLOGY 2,1.75
LINEAR ALGEBRA,7
Mathematical Physics,3.5
MICROARCHITECTURE & LOGIC DESIGN,5.25
Microarchitecture Logic Design,7
Mobile Application Development,5.25
Modern Biology,5.25
Modern Geometry,3.5
MULTIVARIABLE CALCULUS,8.75
ONORS MEDICAL INTERVENTIONS,5.25
OPERATING SYSTEMS 1,3.5
OPERATING SYSTEMS 2,3.5
PDP CHEMISTRY,1.75
PDP PHYSICS,3.5
Peer Mentorship & Leadership,1.75
Physical Science,1.75
physics,3.5
PHYSICS 2,5.25
Physics Pre Diploma Program,3.5
PLTW AEROSPACE ENGINEERING,7
PLTW INTRODUCTION TO ENGINEERING DESIGN,5.25
PLTW PRINCIPLES OF ENGINEERING,5.25
Pre Algebra,1.75
Pre- Calculus,5.25
Pre-Calc,3.5
Pre-Calc 143,3.5
Pre-Calculus,5.25
Pre-Calculus Pre Diploma Program,5.25
Pre-IB Biology,1.75
Pre-IB Chemistry,1.75
Pre-IB Integrated Math,3.5
Principles of Engeneering,5.25
Principles of Engineering,5.25
PROJECT SYNCERE,5.25
PSYCHOLOGY,3.5
Honors Psychology,3.5
Psychology & Aerodynamics,5.25
Regulars Biology,1.75
REGULARS GEOMETRY,1.75
REGULARS PHYSICS 1,3.5
RESEARCH & PROJECT DESIGN,3.5
Robotics,5.25
RS1 ADVANCED ALGEBRA,3.5
RS1 PRE-CALCULUS,5.25
SL PHYSICS,3.5
SOFTWARE DEVELOPMENT LAB,3.5
STEAM 1,1.75
STREAM 1,1.75
STEAM 2,3.5
STREAM 2,3.5
STEAM 3,5.25
STEAM 4,7
Stem,1.75
STEM INTRO TO COMPUTER SCIENCE,3.5
Survey Tech/Engineering,3.5
Technology,1.75
Technology,3.5
Trig,3.5
Trig/Stats/Discrete Mathematics,3.5
UI Health fo Enrichment,1.75
Video Media,5.25
Web Applications Frameworks 1,3.5
Web Applications Frameworks II,5.25
Web Design,3.5
Graphic Design,3.5
Apple IOS,3.5
WEB DESIGN 1,3.5
Web Design 2,3.5
Web Development 1,5.25
Web Development 2,5.25
Web Development 3,5.25
Web Development IV,5.25
Web Page Design,3.5
Web Site Design Fund 1,5.25
Web Site Design Fund 2,5.25
Honors Innovation Creation Lab Maker's Lab,3.25
Honors Human Computer Interaction & Design Makers,4
AP Physics C Mechanics & Electricity & Magnetism,3.5
Honors Integrated Math 1,3
Advanced Placement Calculus AB,4
Honors Inquiry Science 1,1.5
Honors Inquiry Science 2,2.75
Honors Inquiry Science 3,3.5
Biology 1,1
General Chemistry 1,1
Physics 1,1
Digtal Media,2
After School Matters Pre-Freshman Engineering Program,3
Introductory Computer Science,1
Informational Technology,2
Algebra Literacy,1.75
Apple Programming,2.5
Principles of Biomedical Science,3
Honors Algebra 2/ Trig,2.5
Human Body Systems,2
Medical Interventions,3
Advanced Algebra & Trig,2
AP Stats,3
Accelerated Pre-Calc,3
Honors Algebra II-Trig-Pre-Calc,3
AP US History,0
KAM Analysis,3
Ib reading,0
Accelerated Algebra 2,2
chemistry 102,2
introduction to engineering & design,3
graphic arts,0
accelerated geometry & trig,4
engineering & design capstone,4
physics 102,2
ap phsyics AB,5
CAD 1,2
chemistry 1,1
science 1,1
Dual-Credit Calculus 3,5
Dual-Credit Calculus 3,5
IT Essentials,3
Integrated Science,4
Honors Game Programming 1,2.75
Honors Fundamental of IT,3
College Calculus 2,7
College Calculus 1,7
Double Period Game Programming 1,2.75
Dual-Credit Calculus,7
Double Period Game Programming II,3.75
IB Mathematics Apl & Interpretation HL1,5
IB Mathematics Apl & Interpretation HL2,6
IB SL Math Application & Int 1,5
Honors Advanced Algebra with Triginometry,3
Honors ATP Advanced Algebra,3
Math 2,2
Math 3,3
Math 4,4
Religion 4,0
Exploring Faith & Science,0
Honors Zoology,3
IB SL Math Application,4
Pre-DP Algebra,2
honors pre calc,2
Honors Human Computational Interaction,3
Advanced Algegra with Trig,3
Independent Technology Self-Study,3
Honors Digital Imaging 1,1
Honors Digital Imaging 2,1
Honors Digital Imaging 3,1
Honors Digital Imaging 4,1
Honors Integrated Math IIII,5
Calculus 3,5
AP Physics Algebra-based,3
Engineering Projects In Community Service EPICS,4
Honors EPICS Engineering,4
Honors Civic Action through Computer Science,2
Microsoft Office Specialist Course,2
PLTW-Principles of Engineering,5
Intro to Web Development,3
PLTW-Introduction to Engineering Design,5
Calculus 207,5
Programming Innovation & Computer Science,4
IB Advanced Algebra 2,5
IB SL Math Applications & interpretations,5
General Chem 201,4
BC Calculus,5
Statistics 202,4
Astronomy: Modern Cosmology 101,4
Sound Engineering,4
Differential Equations,6
IB HL Math Analysis & Approaches II,4
IB HL Chemistry 2,4
IB SL Physics 2,4
IB HL Math Analysis & Approaches,4
IB HL Chemistry 1,3
Alg II-Trig-PreCalc PDP,3
Geometry-Adv Alg PDP,3
Biology PDP,4
Math 118 General Math & Stats,4
Math 207,4
HS1 Exploring Computer Science,4
Math 1,3
Astronomy Modern Cosmology 101,4
EPICS,5
HS1 Exploring Computer Science,4
Intro Op Sys,4
